Counterfeits
154,63,100,191,209,182,145,172,191,218,182,145,145,127,109,72,54,54,54,36,18,0,0,18,36,72,72,63,63,63,45,36,36,63,81,81,54,36,27,36,54,45,36,18,0,9,18,45,45,27,36,81,63,36,63,54,45,36,36,36,36,36,9,0,9,18,36,81,136,182,218,236,245,245,245,254,254,245,245
105,67,157,202,187,150,135,165,172,165,135,120,120,127,97,52,45,52,45,37,22,0,37,45,60,82,67,67,67,67,67,45,52,82,105,90,67,52,45,45,45,37,45,22,22,37,60,82,75,45,60,60,15,15,45,45,37,37,37,30,22,22,30,37,45,75,105,135,165,172,210,240,240,240,255,255,255,255,247
176,44,17,88,132,132,88,88,105,167,202,202,202,184,140,105,44,35,26,17,0,0,26,52,52,88,96,105,114,79,52,44,35,52,61,61,52,35,44,52,79,61,44,44,17,17,26,52,44,17,35,79,61,61,79,61,52,61,52,26,52,44,35,8,8,17,17,35,88,132,184,184,202,220,220,228,246,255,255
147,73,98,196,196,172,147,155,164,164,155,155,147,147,123,57,49,73,73,57,24,0,24,16,57,90,65,57,49,57,41,24,24,57,65,73,57,41,49,57,57,49,24,0,0,8,41,49,32,49,90,57,49,65,57,49,41,32,24,32,41,24,16,16,24,24,41,90,155,213,237,237,237,237,254,254,254,237,229
151,71,23,86,143,151,127,103,111,143,166,159,159,151,127,63,31,47,63,63,31,31,63,79,55,86,94,71,71,63,63,55,39,55,63,79,86,63,63,55,55,31,31,23,0,23,39,63,47,31,63,63,39,31,47,39,31,31,31,31,31,31,31,15,15,23,23,63,111,190,231,239,246,254,254,254,254,254,239
198,111,71,151,198,182,135,143,166,182,151,151,159,151,135,111,71,79,71,71,63,47,55,71,79,103,94,86,86,86,86,71,63,86,103,94,63,47,55,55,47,23,7,0,7,39,55,63,55,55,79,71,39,31,47,47,39,39,31,31,31,31,23,15,31,31,55,86,135,174,190,215,254,254,246,239,239,246,254
176,70,35,88,132,140,105,79,114,158,184,193,193,176,123,52,44,70,70,52,35,8,35,44,44,79,79,70,79,61,26,0,0,35,61,61,35,26,35,79,79,61,61,8,0,26,44,44,35,35,70,88,61,70,70,61,61,61,52,44,70,70,44,26,35,35,52,88,140,193,220,228,237,255,246,220,211,211,220
182,127,191,236,227,209,200,182,191,182,163,154,154,163,118,45,36,27,18,45,36,9,36,63,109,100,72,72,72,72,54,63,81,91,81,72,54,54,36,36,27,36,18,9,36,45,72,63,27,54,91,54,18,36,45,36,27,27,18,18,36,9,0,9,18,36,63,109,136,182,209,218,227,245,245,245,254,254,254
173,51,0,81,163,173,122,91,132,173,173,173,183,173,163,102,30,20,30,20,20,20,30,51,51,102,102,91,81,71,51,20,30,81,91,91,61,51,51,51,51,40,20,10,0,10,40,61,51,40,40,81,71,30,51,61,51,51,40,30,20,20,10,0,10,20,20,51,91,142,183,214,224,244,255,244,244,255,244
196,90,0,65,147,164,131,106,114,164,188,188,172,164,147,73,32,57,57,41,8,8,49,32,49,90,65,57,41,32,24,0,8,41,65,65,41,24,24,32,57,41,32,32,24,0,0,24,24,16,32,65,57,49,65,65,49,49,32,8,32,32,24,8,16,24,24,41,73,147,205,221,246,254,254,246,246,246,246
