TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
3,28,RI,18774,39566,"2,569.12","25,284.96",
26,2,TI,12418,39689,"5,709.81","25,289.60",
28,26,LV,16269,38089,"4,044.35","25,300.84",
37,38,RI,18073,37062,"3,590.26","25,306.32",
3,2,RV,20226,37327,"3,101.98","25,314.04",
15,37,TV,21962,31178,"1,602.55","25,322.43",
15,14,LI,12508,39766,"6,500.08","25,354.51",
39,38,TI,14955,37686,"4,472.36","25,354.87",
38,26,RV,19174,43175,"3,395.19","25,360.07",
2,38,BI,16983,35364,"3,794.75","25,365.45",
38,13,RV,19743,33464,"2,171.25","25,372.86",
4,13,TV,18343,33237,"3,109.89","25,421.77",
16,26,TV,17643,31155,"2,478.85","25,428.51",
39,13,RI,18250,32761,"2,933.34","25,459.55",
38,26,BI,16378,34512,"3,451.39","25,460.07",
15,40,BI,18077,39467,"3,633.87","25,477.40",
1,39,TI,15536,35777,"4,106.25","25,564.40",
1,4,LI,14738,41515,"5,121.55","25,569.96",
27,40,BV,20060,32990,"2,156.35","25,604.55",
25,28,BI,17857,51241,"4,318.39","25,609.80",
27,25,LV,17227,41124,"4,295.64","25,623.53",
37,27,RV,21257,34422,"2,103.18","25,635.38",
14,37,TV,21449,30983,"1,942.03","25,655.84",
37,13,LI,15270,46043,"6,069.00","25,678.87",
15,37,BI,19267,32804,"3,101.55","25,683.91",
14,2,TV,18421,34921,"2,996.66","25,684.36",
15,25,TV,20076,32169,"2,523.25","25,696.11",
3,25,RI,19824,32978,"3,264.26","25,722.27",
15,26,TV,19124,33291,"2,563.87","25,724.00",
38,2,BI,13451,34929,"3,740.98","25,734.11",
14,40,TI,15490,39467,"5,712.03","25,744.75",
4,39,BI,20242,35639,"3,238.25","25,771.65",
28,25,LV,16281,50056,"4,917.48","25,811.43",
3,2,TI,15779,39242,"4,623.58","25,821.44",
28,37,TI,14822,36211,"3,672.70","25,851.07",
37,38,BI,17512,38211,"3,580.62","25,852.72",
14,40,BI,19105,38705,"3,587.90","25,854.59",
16,37,BI,19904,33060,"2,591.73","25,860.90",
13,37,BI,19305,34965,"2,793.24","25,882.47",
27,1,BI,19376,32720,"2,663.99","25,900.35",
